ItalyPowerDemand,0.0649332782441947
SonyAIBORobotSurface1,0.026834033593206973
Coffee,0.013346883334939637
ECG200,0.02254773884925619
BeetleFly,0.012966128221516007
BirdChicken,0.014373474413304228
SonyAIBORobotSurface2,0.02289674658376276
Wine,0.010092633424283634
GunPoint,0.04394617973712667
TwoLeadECG,0.03516638802453107
MoteStrain,0.016170464778438132
Beef,0.008826342909030593
Plane,0.02935010025752655
FaceFour,0.006032279158381986
OliveOil,0.011870596417917136
SyntheticControl,0.019585800746397326
DistalPhalanxOutlineAgeGroup,0.03711305925732134
DistalPhalanxTW,0.0369918233381052
ECGFiveDays,0.014893277040030815
MiddlePhalanxTW,0.04260513346076516
MiddlePhalanxOutlineAgeGroup,0.04215736501603693
ArrowHead,0.024494240830171654
CBF,0.010941633865897034
Lightning7,0.00475300395922349
ProximalPhalanxOutlineAgeGroup,0.04459484807055859
ProximalPhalanxTW,0.044598461699241976
ToeSegmentation2,0.009996603086226508
DiatomSizeReduction,0.02893330920776265
ToeSegmentation1,0.010658836750741368
Meat,0.01017076006935087
Trace,0.010983642338595603
ShapeletSim,0.0020164226918042796
DistalPhalanxOutlineCorrect,0.03728825153823001
Herring,0.021921924028098266
MiddlePhalanxOutlineCorrect,0.0423694755450348
ProximalPhalanxOutlineCorrect,0.04479079022882535
Car,0.017042793344880368
Lightning2,0.002666288750746544
Ham,0.010815780251982187
MedicalImages,0.025946449058388475
Symbols,0.007242171327965591
Adiac,0.044432626274923843
SwedishLeaf,0.027308022540861985
Fish,0.02765480414594463
FacesUCR,0.013489448363191863
OSULeaf,0.014711891134142157
PhalangesOutlinesCorrect,0.04111323635511388
Worms,0.0041290264345150525
WormsTwoClass,0.0041290264345150525
Earthquakes,0.0019780834536225513
WordSynonyms,0.028686704096994628
Strawberry,0.021336695088430235
CricketX,0.006359309715742292
CricketY,0.006953138327555191
CricketZ,0.006354398353735114
FiftyWords,0.028836939260438642
FaceAll,0.014821113828893643
InsectWingbeatSound,0.016635668618925775
Computers,0.0023788058622913064
ECG5000,0.01665606955778213
ChlorineConcentration,0.009083677961634071
Haptics,0.0014788467036750395
TwoPatterns,0.011944291780327014
LargeKitchenAppliances,0.002628891385123395
RefrigerationDevices,0.002227448846963042
ScreenType,0.002526863266854897
SmallKitchenAppliances,0.0016993098859128472
ShapesAll,0.015755324997403022
Mallat,0.0059338303350423924
Wafer,0.012121107687337327
CinCECGTorso,0.006109726452151238
Yoga,0.021559937045560355
InlineSkate,0.003680933412928125
UWaveGestureLibraryX,0.01270988418031538
UWaveGestureLibraryY,0.011669012486326936
UWaveGestureLibraryZ,0.012228249125406713
Phoneme,0.0017569654096071504
ElectricDevices,0.012071601492849035
FordB,0.006507826733111987
FordA,0.006608345516379147
NonInvasiveFetalECGThorax1,0.013074242148001259
NonInvasiveFetalECGThorax2,0.01352413889871268
HandOutlines,0.013079131715829483
UWaveGestureLibraryAll,0.0037578814913266523
StarLightCurves,0.03318163340961655
